file,true,p_happy,p_sad,pred_argmax,pred_thr
happy\Ytess_happy_female2_actor2_cool.wav,happy,0.9949034452438354,0.0050965845584869385,happy,happy
happy\crema_happy_female13_actor21_DFA_HAP_XX.wav,happy,0.6550009846687317,0.3449989855289459,happy,happy
happy\crema_happy_female13_actor21_IEO_HAP_HI.wav,happy,0.5918706655502319,0.4081292748451233,happy,happy
happy\crema_happy_female13_actor21_IEO_HAP_LO.wav,happy,0.7842770218849182,0.21572300791740417,happy,happy
happy\crema_happy_female13_actor21_IEO_HAP_MD.wav,happy,0.5797615647315979,0.4202384352684021,happy,happy
happy\crema_happy_female13_actor21_IOM_HAP_XX.wav,happy,0.8923702836036682,0.10762977600097656,happy,happy
happy\crema_happy_female13_actor21_ITH_HAP_XX.wav,happy,0.46313348412513733,0.5368664860725403,sad,happy
happy\crema_happy_female13_actor21_ITS_HAP_XX.wav,happy,0.3670252561569214,0.6329747438430786,sad,happy
happy\crema_happy_female13_actor21_IWL_HAP_XX.wav,happy,0.8280820846557617,0.17191796004772186,happy,happy
happy\crema_happy_female13_actor21_IWW_HAP_XX.wav,happy,0.14965087175369263,0.8503491282463074,sad,sad
happy\crema_happy_female13_actor21_MTI_HAP_XX.wav,happy,0.039929039776325226,0.9600709080696106,sad,sad
happy\crema_happy_female13_actor21_TAI_HAP_XX.wav,happy,0.6127061247825623,0.38729387521743774,happy,happy
happy\crema_happy_female13_actor21_TIE_HAP_XX.wav,happy,0.9311673045158386,0.06883272528648376,happy,happy
happy\crema_happy_female13_actor21_TSI_HAP_XX.wav,happy,0.12797150015830994,0.8720284700393677,sad,sad
happy\crema_happy_female13_actor21_WSI_HAP_XX.wav,happy,0.08126028627157211,0.9187396764755249,sad,sad
happy\crema_happy_female14_actor24_DFA_HAP_XX.wav,happy,0.9496647119522095,0.05033520981669426,happy,happy
happy\crema_happy_female14_actor24_IEO_HAP_HI.wav,happy,0.3805774748325348,0.619422435760498,sad,happy
happy\crema_happy_female14_actor24_IEO_HAP_LO.wav,happy,0.537498414516449,0.462501585483551,happy,happy
happy\crema_happy_female14_actor24_IEO_HAP_MD.wav,happy,0.979520857334137,0.020479081198573112,happy,happy
happy\crema_happy_female14_actor24_IOM_HAP_XX.wav,happy,0.8899106383323669,0.11008942872285843,happy,happy
happy\crema_happy_female14_actor24_ITH_HAP_XX.wav,happy,0.97772616147995,0.02227383479475975,happy,happy
happy\crema_happy_female14_actor24_ITS_HAP_XX.wav,happy,0.8391618132591248,0.16083815693855286,happy,happy
happy\crema_happy_female14_actor24_IWL_HAP_XX.wav,happy,0.9641477465629578,0.03585221618413925,happy,happy
happy\crema_happy_female14_actor24_IWW_HAP_XX.wav,happy,0.8187060356140137,0.18129393458366394,happy,happy
happy\crema_happy_female14_actor24_MTI_HAP_XX.wav,happy,0.7882803678512573,0.2117195725440979,happy,happy
happy\crema_happy_female14_actor24_TAI_HAP_XX.wav,happy,0.9501813054084778,0.0498187318444252,happy,happy
happy\crema_happy_female14_actor24_TIE_HAP_XX.wav,happy,0.6121783256530762,0.38782167434692383,happy,happy
happy\crema_happy_female14_actor24_TSI_HAP_XX.wav,happy,0.9596506953239441,0.0403493195772171,happy,happy
happy\crema_happy_female14_actor24_WSI_HAP_XX.wav,happy,0.9421327710151672,0.05786725878715515,happy,happy
happy\crema_happy_female19_actor37_DFA_HAP_XX.wav,happy,0.9892633557319641,0.010736692696809769,happy,happy
happy\crema_happy_female19_actor37_IEO_HAP_HI.wav,happy,0.9905636310577393,0.009436369873583317,happy,happy
happy\crema_happy_female19_actor37_IEO_HAP_LO.wav,happy,0.6595179438591003,0.3404819965362549,happy,happy
happy\crema_happy_female19_actor37_IEO_HAP_MD.wav,happy,0.8200822472572327,0.17991775274276733,happy,happy
happy\crema_happy_female19_actor37_IOM_HAP_XX.wav,happy,0.9943434000015259,0.00565666239708662,happy,happy
happy\crema_happy_female19_actor37_ITH_HAP_XX.wav,happy,0.9721183180809021,0.02788165956735611,happy,happy
happy\crema_happy_female19_actor37_ITS_HAP_XX.wav,happy,0.68522709608078,0.31477293372154236,happy,happy
happy\crema_happy_female19_actor37_IWL_HAP_XX.wav,happy,0.9879016876220703,0.012098369188606739,happy,happy
happy\crema_happy_female19_actor37_IWW_HAP_XX.wav,happy,0.809720516204834,0.1902795135974884,happy,happy
happy\crema_happy_female19_actor37_MTI_HAP_XX.wav,happy,0.9151538014411926,0.08484622836112976,happy,happy
happy\crema_happy_female19_actor37_TAI_HAP_XX.wav,happy,0.9783372282981873,0.021662719547748566,happy,happy
happy\crema_happy_female19_actor37_TIE_HAP_XX.wav,happy,0.9869027137756348,0.013097311370074749,happy,happy
happy\crema_happy_female19_actor37_TSI_HAP_XX.wav,happy,0.9171090722084045,0.08289092779159546,happy,happy
